draw_date,game,jackpot,results
04/18,Powerball,$24 MILLION,"4,44,46,56,63,19"
04/15,Powerball,$22 MILLION,"10,12,33,36,41,2"
04/11,Powerball,$20 MILLION,"22,29,30,42,47,17"
04/08,Powerball,$190 MILLION,"2,37,39,48,54,5"
04/04,Powerball,$180 MILLION,"8,31,39,40,43,4"
04/01,Powerball,$170 MILLION,"33,35,45,48,60,16"
03/28,Powerball,$160 MILLION,"7,40,48,55,66,11"
03/25,Powerball,$150 MILLION,"5,9,27,39,42,16"
03/21,Powerball,$140 MILLION,"2,23,40,59,69,13"
03/18,Powerball,$130 MILLION,"15,27,44,59,63,8"
03/14,Powerball,$120 MILLION,"9,23,26,30,32,8"
03/11,Powerball,$110 MILLION,"4,29,49,50,67,2"
03/07,Powerball,$100 MILLION,"7,15,21,33,62,23"
03/04,Powerball,$90 MILLION,"18,43,58,60,68,14"
02/29,Powerball,$80 MILLION,"24,44,46,50,51,13"
02/26,Powerball,$70 MILLION,"8,27,29,36,47,24"
02/22,Powerball,$60 MILLION,"25,37,39,61,62,11"
02/19,Powerball,$50 MILLION,"10,12,15,19,56,19"
02/15,Powerball,$40 MILLION,"16,32,35,36,46,3"
02/12,Powerball,$70 MILLION,"14,47,54,55,68,25"
02/08,Powerball,$60 MILLION,"35,49,50,59,66,6"
02/05,Powerball,$50 MILLION,"23,30,35,41,57,2"
02/01,Powerball,$40 MILLION,"12,33,54,57,60,13"
01/29,Powerball,$394 MILLION,"9,12,15,31,60,2"
01/25,Powerball,$373 MILLION,"2,9,17,36,67,18"
01/22,Powerball,$343 MILLION,"11,33,44,59,67,8"
