name,draw_date,jackpot,win_numbers
Powerball,04/25,$37 MILLION,"1, 3, 21, 47, 57, 18"
Powerball,04/22,$29 MILLION,"1, 33, 35, 40, 69, 24"
Powerball,04/18,$24 MILLION,"4, 44, 46, 56, 63, 19"
Powerball,04/15,$22 MILLION,"10, 12, 33, 36, 41, 2"
Powerball,04/11,$20 MILLION,"22, 29, 30, 42, 47, 17"
Powerball,04/08,$190 MILLION,"2, 37, 39, 48, 54, 5"
Powerball,04/04,$180 MILLION,"8, 31, 39, 40, 43, 4"
Powerball,04/01,$170 MILLION,"33, 35, 45, 48, 60, 16"
Powerball,03/28,$160 MILLION,"7, 40, 48, 55, 66, 11"
Powerball,03/25,$150 MILLION,"5, 9, 27, 39, 42, 16"
Powerball,03/21,$140 MILLION,"2, 23, 40, 59, 69, 13"
Powerball,03/18,$130 MILLION,"15, 27, 44, 59, 63, 8"
Powerball,03/14,$120 MILLION,"9, 23, 26, 30, 32, 8"
Powerball,03/11,$110 MILLION,"4, 29, 49, 50, 67, 2"
Powerball,03/07,$100 MILLION,"7, 15, 21, 33, 62, 23"
Powerball,03/04,$90 MILLION,"18, 43, 58, 60, 68, 14"
Powerball,02/29,$80 MILLION,"24, 44, 46, 50, 51, 13"
Powerball,02/26,$70 MILLION,"8, 27, 29, 36, 47, 24"
Powerball,02/22,$60 MILLION,"25, 37, 39, 61, 62, 11"
Powerball,02/19,$50 MILLION,"10, 12, 15, 19, 56, 19"
Powerball,02/15,$40 MILLION,"16, 32, 35, 36, 46, 3"
Powerball,02/12,$70 MILLION,"14, 47, 54, 55, 68, 25"
Powerball,02/08,$60 MILLION,"35, 49, 50, 59, 66, 6"
Powerball,02/05,$50 MILLION,"23, 30, 35, 41, 57, 2"
Powerball,02/01,$40 MILLION,"12, 33, 54, 57, 60, 13"
Powerball,01/29,$394 MILLION,"9, 12, 15, 31, 60, 2"
